RunOrder,Font,Display,TextColour,Time,,
1,Courier,Capitals,White,16.55,,
2,Courier,Capitals,Black,21.5,,
3,Ariel,Capitals,Black,10.18,,
4,Courier,Bionic,Black,15.9,,
5,Ariel,Bionic,White,10.78,,
6,Courier,Standard,White,7.24,,
7,Courier,Bionic,White,19.65,,
8,Courier,Standard,Black,28.5,,
9,Ariel,Bionic,White,20.34,,
10,Ariel,Bionic,Black,16.47,,
11,Ariel,Capitals,Black,21.1,,
12,Ariel,Bionic,Black,18,,
13,Ariel,Standard,White,18.17,,
14,Ariel,Capitals,White,19.13,,
15,Courier,Bionic,Black,22.57,,
16,Courier,Capitals,White,20.14,,
17,Courier,Capitals,Black,18.38,,
18,Ariel,Standard,White,18.52,,
19,Ariel,Standard,Black,18.84,,
20,Courier,Standard,White,24.41,,
21,Courier,Bionic,White,21.22,,
22,Courier,Standard,Black,23.74,,
23,Ariel,Standard,Black,19.58,,
24,Ariel,Capitals,White,20.01,,
